fusion_cell;Fusion Cell
fusion_core;Fusion Core
microfusion_cell;Microfusion Cell
microfusion_breeder;Microfusion Breeder
beryllium_agitator;Beryllium Agitator
verdant_air_turbine;Verdant-Air Turbine
helios_solar_generator;HELIOS Solar Generator
chryslus_corvega;Chryslus Corvega
highwayman;Highwayman
f80_fighter_jet;F-80 Fighter Jet
transport_vertibird;Transport Vertibird
combat_vertibird;Combat Vertibird
steam_powered_truck;Steam-powered Truck
minigun;Minigun
flamer;Flamer
incinerator;Incinerator
laser_pistol;Laser Pistol
laser_rifle;Laser Rifle
laser_assisted_electrical_rifle;LAER
gatling_laser;Gatling Laser
recharger_rifle;Recharger Rifle
plasma_rifle;Plasma Rifle
plasma_caster;Plasma Caster
tesla_cannon;Tesla Cannon
magnetic_rail_cannon;Magnetic Rail Cannon
t51_power_armor;T-51 Power Armor
t45_power_armor;T-45 Power Armor
t60_power_armor;T-60 Power Armor
t65_power_armor;T-65 Power Armor
x01_power_armor;X-01 Power Armor
tesla_power_armor;Tesla Power Armor
hellfire_power_armor;Hellfire Power Armor
stimpak;Stimpak
auto_doc;Auto-Doc
buffout;Buffout
mentats;Mentats
psycho;Psycho
jet;Jet
protectron;Protectron
mister_handy;Mister Handy
assaultron;Assaultron
eyebot;Eyebot
mister_gutsy;Mister Gutsy
robobrain;Robo-brain
securitron;Securitron
sentry_bot;Sentry Bot
stealth_boy;Stealth Boy
base_replicator_unit;Base Replicator Unit
hologram;Hologram
molecular_relay;Molecular Relay
