apocalypse;Apocalypse
twinblades_of_the_deceiver;Twinblades of the Deceiver
thasdorah;Thas'dorah
aluneth;Aluneth
sheilun;Sheilun
ashbringer;Ashbringer
xalatath;Xalatath
doomhammer;Doomhammer
dreadblades;Dreadblades
skull_of_manari;Skull of Man'ari
warswords_of_valarjar;Warswords of Valarjar
scythe_of_elune;Scythe of Elune
maw_of_the_damned;Maw of the Damned
blades_of_the_fallen_prince;Blades of the Fallen Prince
aldrachi_warblades;Aldrachi Warblades
fangs_of_ashamane;Fangs of Ashamane
claws_of_ursoc;Claws of Ursoc
ghanir;G'Hanir
titanstrike;Titanstrike
talonclaw;Talonclaw
felomelorn;Felo'melorn
ebonchill;Ebonchill
fu_zan;Fu Zan
fists_of_the_heavens;Fists of the Heavens
silver_hand;The Silver Hand
truthguard;Truthguard
lights_wrath;Light's Wrath
tuure;T'uure
kingslayers;Kingslayers
fangs_of_the_devourer;Fangs of the Devourer
fist_of_raden;Fist of Ra-den
sharasdal;Sharas'dal
ulthalesh;Ulthalesh
scepter_of_sargeras;Scepter of Sargeras
stromkar;Strom'kar
scale_of_the_earthwarder;Scale of the Earth-warder
underlight_angler;Underlight Angler
glaive_of_the_aspects;Glaive of the Aspects
scimitar_of_sirocco;Scimitar of Sirocco
staff_of_ammunae;Staff of Ammunae
dustbringer;Dustbringer
valanyr;Val'anyr, Hammer of Ancient Kings
puzzle_box_of_yogg_saron;Puzzle Box of Yogg-Saron
twirling_longbow;Twirling Longbow
spear_of_xuen;Spear of Xuen
umbrella_of_chiji;Umbrella of Chi'ji
amulet_of_rukhmar;Amulet of Rukhmar
dream_of_argus;Dream of Argus
grimoire_of_the_nameless_void;Grimoire of the Nameless Void
gronnsbane;Gronnsbane
gutreks_cleaver;Gutrek's Cleaver
headdress_of_the_first_shaman;Headdress of the First Shaman
warmaul_of_the_warmaul_chieftain;Warmaul of the Warmaul Chieftain
beakbreaker_of_terokk;Beakbreaker of Terokk
zinrokh;Zin'rokh, Destroyer of Worlds
fetish_of_hireek;Fetish of Hir'eek
bwonsamdi_voodoo_mask;Bwonsamdi Voodoo Mask
rezan_idol;Rezan Idol
jagged_blade_of_the_drust;Jagged Blade of the Drust
soul_coffer;Soul Coffer
fetish_of_the_tormented_mind;Fetish of the Tormented Mind
ritual_fetish;Ritual Fetish
blade_of_northern_kings;Blade of Northern Kings
brinebeards_shanker;Brinebeard's Shanker
crimson_captains_hat;Crimson Captain's Hat
elemental_lairat;Elemental Lairat
onyx_annulet;Onyx Annulet
spark_of_ingenuity;Spark of Ingenuity
awakmani;Awak'mani, Grimtotem's Legacy
kharnalex;Kharnalex, The First Light
pashmars_finial;Pashmar's Finial
anu_azshara;Anu-Azshara, Staff of the Eternal
scepter_of_the_azshari;Scepter of the Azsh'ari
arcane_phial;Phial of the Arcane Tempest
vision_of_demise;Vision of Demise
pearl_of_pandaria;Pearl of Pandaria
