 artifact_elemental_lairat: "Elemental Lairat"
 desc_artifact_elemental_lairat: ""

 artifact_onyx_annulet: "Onyx Annulet"
 desc_artifact_onyx_annulet: ""

 artifact_spark_of_ingenuity: "Spark of Ingenuity"
 desc_artifact_spark_of_ingenuity: ""

 artifact_awakmani: "Awak'mani, Grimtotem's Legacy"
 desc_artifact_awakmani: ""

 artifact_kharnalex: "Kharnalex, The First Light"
 desc_artifact_kharnalex: ""

 artifact_pashmars_finial: "Pashmar's Finial"
 desc_artifact_pashmars_finial: ""

 artifact_anu_azshara: "Anu-Azshara, Staff of the Eternal"
 desc_artifact_anu_azshara: ""

 artifact_scepter_of_the_azshari: "Scepter of the Azsh'ari"
 desc_artifact_scepter_of_the_azshari: ""

 artifact_arcane_phial: "Phial of the Arcane Tempest"
 desc_artifact_arcane_phial: ""

 artifact_vision_of_demise: "Vision of Demise"
 desc_artifact_vision_of_demise: ""

 artifact_pearl_of_pandaria: "Pearl of Pandaria"
 desc_artifact_pearl_of_pandaria: ""

