 wwu_artifact_heist.75.title: "Loss of Elemental Lairat"
 wwu_artifact_heist.75.desc: "\n[Root.GetArtifactUnlockSpacer]£elemental_lairat_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.75.option.a: "Curses!"

 wwu_artifact_heist.76.title: "Loss of Onyx Annulet"
 wwu_artifact_heist.76.desc: "\n[Root.GetArtifactUnlockSpacer]£onyx_annulet_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.76.option.a: "Curses!"

 wwu_artifact_heist.77.title: "Loss of Spark of Ingenuity"
 wwu_artifact_heist.77.desc: "\n[Root.GetArtifactUnlockSpacer]£spark_of_ingenuity_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.77.option.a: "Curses!"

 wwu_artifact_heist.78.title: "Loss of Awak'mani, Grimtotem's Legacy"
 wwu_artifact_heist.78.desc: "\n[Root.GetArtifactUnlockSpacer]£awakmani_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.78.option.a: "Curses!"

 wwu_artifact_heist.79.title: "Loss of Kharnalex, The First Light"
 wwu_artifact_heist.79.desc: "\n[Root.GetArtifactUnlockSpacer]£kharnalex_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.79.option.a: "Curses!"

 wwu_artifact_heist.80.title: "Loss of Pashmar's Finial"
 wwu_artifact_heist.80.desc: "\n[Root.GetArtifactUnlockSpacer]£pashmars_finial_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.80.option.a: "Curses!"

 wwu_artifact_heist.81.title: "Loss of Anu-Azshara, Staff of the Eternal"
 wwu_artifact_heist.81.desc: "\n[Root.GetArtifactUnlockSpacer]£anu_azshara_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.81.option.a: "Curses!"

 wwu_artifact_heist.82.title: "Loss of Scepter of the Azsh'ari"
 wwu_artifact_heist.82.desc: "\n[Root.GetArtifactUnlockSpacer]£scepter_of_the_azshari_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.82.option.a: "Curses!"

 wwu_artifact_heist.83.title: "Loss of Phial of the Arcane Tempest"
 wwu_artifact_heist.83.desc: "\n[Root.GetArtifactUnlockSpacer]£arcane_phial_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.83.option.a: "Curses!"

 wwu_artifact_heist.84.title: "Loss of Vision of Demise"
 wwu_artifact_heist.84.desc: "\n[Root.GetArtifactUnlockSpacer]£vision_of_demise_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.84.option.a: "Curses!"

 wwu_artifact_heist.85.title: "Loss of Pearl of Pandaria"
 wwu_artifact_heist.85.desc: "\n[Root.GetArtifactUnlockSpacer]£pearl_of_pandaria_icon£\n\n\nLORE HERE"
 wwu_artifact_heist.85.option.a: "Curses!"

