 PROV1: "Broken Hills Mine"
 PROV2: "Molokai Fracture Zone"
 PROV3: "North Pacific Drift"
 PROV4: "Shumagin Islands"
 PROV5: "Lake Winnipeg"
 PROV6: "Lake Huron"
 PROV7: "Tuba Ruins"
 PROV8: "Cape Hatteras"
 PROV9: "Greenland Sea"
 PROV10: "Strait of Belle Isle"
 PROV11: "Layton"
 PROV12: "Fort Bragg"
 PROV13: "Arickaree"
 PROV14: "Quincy"
 PROV15: "Goliad"
 PROV16: "Dayton"
 PROV17: "Waka"
 PROV18: "Rosarito"
 PROV19: "Edna"
 PROV20: "Mobile"
 PROV21: "Torrington"
 PROV22: "Big Bend"
 PROV23: "Frederickburg"
 PROV24: "Muskogee"
 PROV25: "Guaycura"
 PROV26: "Tsisistas"
 PROV27: "Sloan"
 PROV28: "Shalebridge"
 PROV29: "Mescalero"
 PROV30: "Bloomington"
 PROV31: "Grafton"
 PROV32: "Waco"
 PROV33: "Chesapeake"
 PROV34: "Primm"
 PROV35: "Satuskhdin"
 PROV36: "Calusa"
 PROV37: "Salem"
 PROV38: "Jicarilla"
 PROV39: "The Sink"
 PROV40: "Steel Palace"
 PROV41: "Regulators HQ"
 PROV42: "Mama Dolce's"
 PROV43: "Dry Rock Gulch"
 PROV44: "Murray Fracture Zone"
 PROV45: "Northern California Current"
 PROV46: "Lake Nipigon"
 PROV47: "Lake Erie"
 PROV48: "Sea of Sargassos"
 PROV49: "Delaware Bay"
 PROV50: "Labrador Sea"
 PROV51: "Bay of Fundy"
 PROV52: "Dead Horse Point"
 PROV53: "Balafield"
 PROV54: "Coldwater"
 PROV55: "Junction City"
 PROV56: "Ulysses Temple"
 PROV57: "Den West Side"
 PROV58: "Fizztop Mountain"
 PROV59: "Central Pacific Basin"
 PROV60: "Southern California Current"
 PROV61: "California Current"
 PROV62: "Eastern North Pacific Drift"
 PROV63: "Gulf of Alaska"
 PROV64: "Lake Superior"
 PROV65: "Lake Michigan"
 PROV66: "Lake Ontario"
 PROV67: "Lake Okeechobee"
 PROV68: "Dead Horse Caves"
 PROV69: "The Hub"
 PROV70: "Bahama Banks"
 PROV71: "Sea Islands"
 PROV72: "Massachusetts Bay"
 PROV73: "Notre Dame Bay"
 PROV74: "Fortune Bay"
 PROV75: "Cabot Strait"
 PROV76: "Gulf of St. Lawrence"
 PROV77: "James Bay"
 PROV78: "Labrador Strait"
 PROV79: "Western Coast of Greenland"
 PROV80: "Goshute"
 PROV81: "Monongahela"
